video_id,youtube_url,thumbnail_maxres,thumbnail_hq
g0p9RlXXXWU,https://www.youtube.com/watch?v=g0p9RlXXXWU,https://img.youtube.com/vi/g0p9RlXXXWU/maxresdefault.jpg,https://img.youtube.com/vi/g0p9RlXXXWU/hqdefault.jpg
ZgxL3MNs6y4,https://www.youtube.com/watch?v=ZgxL3MNs6y4,https://img.youtube.com/vi/ZgxL3MNs6y4/maxresdefault.jpg,https://img.youtube.com/vi/ZgxL3MNs6y4/hqdefault.jpg
1gXleQbsMZA,https://www.youtube.com/watch?v=1gXleQbsMZA,https://img.youtube.com/vi/1gXleQbsMZA/maxresdefault.jpg,https://img.youtube.com/vi/1gXleQbsMZA/hqdefault.jpg
RvJlS2c3e9c,https://www.youtube.com/watch?v=RvJlS2c3e9c,https://img.youtube.com/vi/RvJlS2c3e9c/maxresdefault.jpg,https://img.youtube.com/vi/RvJlS2c3e9c/hqdefault.jpg
wnEFUrB8ZFI,https://www.youtube.com/watch?v=wnEFUrB8ZFI,https://img.youtube.com/vi/wnEFUrB8ZFI/maxresdefault.jpg,https://img.youtube.com/vi/wnEFUrB8ZFI/hqdefault.jpg
j9g319DAJAQ,https://www.youtube.com/watch?v=j9g319DAJAQ,https://img.youtube.com/vi/j9g319DAJAQ/maxresdefault.jpg,https://img.youtube.com/vi/j9g319DAJAQ/hqdefault.jpg
mLCjXDV81N0,https://www.youtube.com/watch?v=mLCjXDV81N0,https://img.youtube.com/vi/mLCjXDV81N0/maxresdefault.jpg,https://img.youtube.com/vi/mLCjXDV81N0/hqdefault.jpg
uW8oI4teYb4,https://www.youtube.com/watch?v=uW8oI4teYb4,https://img.youtube.com/vi/uW8oI4teYb4/maxresdefault.jpg,https://img.youtube.com/vi/uW8oI4teYb4/hqdefault.jpg
h9oXGTa1D0I,https://www.youtube.com/watch?v=h9oXGTa1D0I,https://img.youtube.com/vi/h9oXGTa1D0I/maxresdefault.jpg,https://img.youtube.com/vi/h9oXGTa1D0I/hqdefault.jpg
GtYkPKqnWp0,https://www.youtube.com/watch?v=GtYkPKqnWp0,https://img.youtube.com/vi/GtYkPKqnWp0/maxresdefault.jpg,https://img.youtube.com/vi/GtYkPKqnWp0/hqdefault.jpg
rl-vkZUtjuw,https://www.youtube.com/watch?v=rl-vkZUtjuw,https://img.youtube.com/vi/rl-vkZUtjuw/maxresdefault.jpg,https://img.youtube.com/vi/rl-vkZUtjuw/hqdefault.jpg
mPtGyO3mNrI,https://www.youtube.com/watch?v=mPtGyO3mNrI,https://img.youtube.com/vi/mPtGyO3mNrI/maxresdefault.jpg,https://img.youtube.com/vi/mPtGyO3mNrI/hqdefault.jpg
